name	price	category	photoPath
Smartfon TECNO SPARK Go 3, 120 Hz 6.75"	1386130	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3170/original.jpg
Smartfon Samsung Galaxy A57 5G, Super AMOLED	4801020	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3171/original.jpg
Smartfon Samsung Galaxy A26 5G, Super AMOLED 120Hz	2969010	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3172/original.jpg
Honor X9d 5G smartfoni, AMOLED ekran, 8300mAh	4229060	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3173/original.jpg
Xiaomi Redmi Note 14, 120Hz AMOLED, 5000mAh	3299000	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3174/original.jpg
Oppo A78 5G, 120Hz display, 5000mAh battery	2499000	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3175/original.jpg
Realme 12 Pro, 50MP kamera, Super AMOLED	3099000	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3176/original.jpg
Vivo Y38, 50MP kamera, 5000mAh	1999000	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3177/original.jpg
Infinix Note 40, 120Hz AMOLED, 5000mAh	2199000	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3178/original.jpg
Poco X6 5G, 120Hz, 5000mAh battery	3399000	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3179/original.jpg
Samsung Galaxy A15, 50MP kamera, 5000mAh	2199000	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3180/original.jpg
Apple iPhone 12, 64GB storage	8999000	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3181/original.jpg
Apple iPhone 13, 128GB storage	10999000	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3182/original.jpg
OnePlus 12, 120Hz AMOLED, 5000mAh	5199000	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3183/original.jpg
Nothing Phone 2a, 120Hz display, 5000mAh	3599000	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3184/original.jpg
Noutbuk ASUS VivoBook 15, Intel i5, 8GB RAM	6999000	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3185/original.jpg
Noutbuk Lenovo IdeaPad 3, Intel i5, 512GB SSD	7299000	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3186/original.jpg
Noutbuk HP Pavilion 15, Intel i7, 16GB RAM	9999000	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3187/original.jpg
iPad Air, 10.9", M1 chip, 64GB	8499000	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3188/original.jpg
Samsung Galaxy Tab S8, 11", 128GB	7999000	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3189/original.jpg
Invertorli konditsioner Artel Marvarid 12BE	3249000	Uy uchun	https://images.uzum.uz/cjl6b340fdd0o0ip3190/original.jpg
Ikki kamerali muzlatgich Бирюса M420, 205 L	2618030	Uy uchun	https://images.uzum.uz/cjl6b340fdd0o0ip3191/original.jpg
DreamFit elektr yugurish yo'lakchasi, buklanadigan	2438000	Uy uchun	https://images.uzum.uz/cjl6b340fdd0o0ip3192/original.jpg
Kir yuvish mashinasi Samsung 8kg, invertor	4299000	Uy uchun	https://images.uzum.uz/cjl6b340fdd0o0ip3193/original.jpg
Kir yuvish mashinasi LG 7kg, AI DD	3799000	Uy uchun	https://images.uzum.uz/cjl6b340fdd0o0ip3194/original.jpg
Kir yuvish mashinasi Bosch 8kg, EcoSilence	4699000	Uy uchun	https://images.uzum.uz/cjl6b340fdd0o0ip3195/original.jpg
Muzlatgich Samsung RB38A7B5E22, 384 L	5499000	Uy uchun	https://images.uzum.uz/cjl6b340fdd0o0ip3196/original.jpg
Muzlatgich LG GN-C702HLHL, 600 L	6999000	Uy uchun	https://images.uzum.uz/cjl6b340fdd0o0ip3197/original.jpg
Plita Samsung 60cm, elektr pech	2299000	Uy uchun	https://images.uzum.uz/cjl6b340fdd0o0ip3198/original.jpg
Plita Artel 90cm, gaz pech	1999000	Uy uchun	https://images.uzum.uz/cjl6b340fdd0o0ip3199/original.jpg
Dishan mashinasi Bosch SMV4HTX31E, 12 qorma	3399000	Uy uchun	https://images.uzum.uz/cjl6b340fdd0o0ip3200/original.jpg
Dishan mashinasi Electrolux 60cm, A+++	2699000	Uy uchun	https://images.uzum.uz/cjl6b340fdd0o0ip3201/original.jpg
Microwave LG 25L, smart sensor	1299000	Uy uchun	https://images.uzum.uz/cjl6b340fdd0o0ip3202/original.jpg
Microwave Samsung 23L, grill funksiyasi	1099000	Uy uchun	https://images.uzum.uz/cjl6b340fdd0o0ip3203/original.jpg
Qovurishni asbob Samsung 1800W	899000	Uy uchun	https://images.uzum.uz/cjl6b340fdd0o0ip3204/original.jpg
Qovurishni asbob Bosch Compact Class	1199000	Uy uchun	https://images.uzum.uz/cjl6b340fdd0o0ip3205/original.jpg
Changi mashinasi Dyson Supersonic	4999000	Uy uchun	https://images.uzum.uz/cjl6b340fdd0o0ip3206/original.jpg
Changi mashinasi Philips DryCare Essential	1699000	Uy uchun	https://images.uzum.uz/cjl6b340fdd0o0ip3207/original.jpg
Ayollar sport kostyumi bahor yoz uchun	286110	Kiyim	https://images.uzum.uz/cjl6b340fdd0o0ip3208/original.jpg
Bahor va yoz uchun NK krossovkalar	105910	Kiyim	https://images.uzum.uz/cjl6b340fdd0o0ip3209/original.jpg
SADO ayollar zamsh kedalari	249000	Kiyim	https://images.uzum.uz/cjl6b340fdd0o0ip3210/original.jpg
Erkaklar sport kostyumi	350000	Kiyim	https://images.uzum.uz/cjl6b340fdd0o0ip3211/original.jpg
Qizlar yozgi ko'ylagi	189000	Kiyim	https://images.uzum.uz/cjl6b340fdd0o0ip3212/original.jpg
Erkaklar yozgi ko'ylagi	245000	Kiyim	https://images.uzum.uz/cjl6b340fdd0o0ip3213/original.jpg
DEGO ayollar yozgi ko'ylagi	239870	Kiyim	https://images.uzum.uz/cjl6b340fdd0o0ip3214/original.jpg
Erkaklar krossovkalari bahor yoz uchun	118150	Poyabzallar	https://images.uzum.uz/cjl6b340fdd0o0ip3215/original.jpg
Ayollar krossovkalari sport	385000	Poyabzallar	https://images.uzum.uz/cjl6b340fdd0o0ip3216/original.jpg
Bolalar krossovkalari Adidas	579000	Poyabzallar	https://images.uzum.uz/cjl6b340fdd0o0ip3217/original.jpg
Erkaklar bot Timberland	899000	Poyabzallar	https://images.uzum.uz/cjl6b340fdd0o0ip3218/original.jpg
Ayollar jipli tufli	299000	Poyabzallar	https://images.uzum.uz/cjl6b340fdd0o0ip3219/original.jpg
Gaming kompyuter stoli	749900	Mebel	https://images.uzum.uz/cjl6b340fdd0o0ip3220/original.jpg
Ofis kreslo, ergonomic	1299000	Mebel	https://images.uzum.uz/cjl6b340fdd0o0ip3221/original.jpg
Gaming kreslo, PU mayka	899000	Mebel	https://images.uzum.uz/cjl6b340fdd0o0ip3222/original.jpg
Divan, 2-sedalik, lotte mayka	3499000	Mebel	https://images.uzum.uz/cjl6b340fdd0o0ip3223/original.jpg
Gijoq stoli, emas oyoqlari	599000	Mebel	https://images.uzum.uz/cjl6b340fdd0o0ip3224/original.jpg
